"Type","Key Number","Title","KeyCite Treatment","KeyCite URL","Document URL","Court","Date","Citation","Headnote","Document Preview",
"Custom Digest","95 CONTRACTS > 95II Construction and Operation > 95II(A) General Rules of Construction > 95k143 Application to Contracts in General > 95k143(2) Existence of ambiguity >","Great West Cas. Co. v. National Cas. Co.","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I3d31dd909d8f11e5b4bafa136b480ad2&rank=11&listSource=Search&list=CUSTOMDIGEST&ppcid=5d8262dbeebd43ada63e3491f47b429a&originationContext=Custom%20Digest&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","https://www.westlaw.com/Document/I3d31dd909d8f11e5b4bafa136b480ad2/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=11&sessionScopeId=0d46b021f05b5ce226eef749594b8c280a40aeebcdf61c6d9f5c3d90860aa42b&ppcid=5d8262dbeebd43ada63e3491f47b429a&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F152037759579","United States Court of Appeals, Eighth Circuit.","December 7, 2015","807 F.3d 952","Fact that contract term is subject to conflicting interpretations does not make it ambiguous as matter of law.","INSURANCE - Liability. Insured tractor was connected to trailer, though unhitched therefrom.",
"Custom Digest","95 CONTRACTS > 95II Construction and Operation > 95II(A) General Rules of Construction > 95k143 Application to Contracts in General > 95k143(2) Existence of ambiguity >","In re Genco Shipping & Trading Limited","","","https://www.westlaw.com/Document/I9d44d9a09b6711e58b7fa63ea8e8f9ce/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=12&sessionScopeId=0d46b021f05b5ce226eef749594b8c280a40aeebcdf61c6d9f5c3d90860aa42b&ppcid=5d8262dbeebd43ada63e3491f47b429a&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F82037750478","United States District Court, S.D. New York.","December 3, 2015","550 B.R. 676","Under New York law, contract language is ""unambiguous"" when it has definite and precise meaning, unattended by danger of misconception in the purport of contract itself, and concerning which there is no reasonable basis for difference of opinion.","BANKRUPTCY  Leases and Contracts. Rejection of master lease was not termination thereof and did not trigger termination provisions.",
"Custom Digest","95 CONTRACTS > 95II Construction and Operation > 95II(A) General Rules of Construction > 95k143 Application to Contracts in General > 95k143(2) Existence of ambiguity >","In re Genco Shipping & Trading Limited","","","https://www.westlaw.com/Document/I9d44d9a09b6711e58b7fa63ea8e8f9ce/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=13&sessionScopeId=0d46b021f05b5ce226eef749594b8c280a40aeebcdf61c6d9f5c3d90860aa42b&ppcid=5d8262dbeebd43ada63e3491f47b429a&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F92037750478","United States District Court, S.D. New York.","December 3, 2015","550 B.R. 676","Under New York law, contract language is ""ambiguous"" if its terms could suggest more than one meaning when viewed objectively by a reasonably intelligent person who has examined context of entire integrated agreement, and who is cognizant of customs, practices, usages and terminology as generally understood in the particular trade or business.","BANKRUPTCY  Leases and Contracts. Rejection of master lease was not termination thereof and did not trigger termination provisions.",
"Custom Digest","95 CONTRACTS > 95II Construction and Operation > 95II(A) General Rules of Construction > 95k143 Application to Contracts in General > 95k143(2) Existence of ambiguity >","Daniel v. Ford Motor Co.","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I6871c4b298d511e5b86bd602cb8781fa&rank=14&listSource=Search&list=CUSTOMDIGEST&ppcid=5d8262dbeebd43ada63e3491f47b429a&originationContext=Custom%20Digest&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","https://www.westlaw.com/Document/I6871c4b298d511e5b86bd602cb8781fa/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=14&sessionScopeId=0d46b021f05b5ce226eef749594b8c280a40aeebcdf61c6d9f5c3d90860aa42b&ppcid=5d8262dbeebd43ada63e3491f47b429a&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F92037717276","United States Court of Appeals, Ninth Circuit.","December 2, 2015","806 F.3d 1217","Under California law, a contractual provision is ambiguous when it is capable of two or more constructions, both of which are reasonable.","COMMERCIAL LAW - Warranties. Automobile manufacturer's express warranty was ambiguous and construed as guaranteeing against both design and manufacturing defects.",
"Custom Digest","95 CONTRACTS > 95II Construction and Operation > 95II(A) General Rules of Construction > 95k143 Application to Contracts in General > 95k143(2) Existence of ambiguity >","In re Universal Marketing, Inc.","","","https://www.westlaw.com/Document/I8fb3621093c011e595f799cc3c3ba45b/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=15&sessionScopeId=0d46b021f05b5ce226eef749594b8c280a40aeebcdf61c6d9f5c3d90860aa42b&ppcid=5d8262dbeebd43ada63e3491f47b429a&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F222037678477","United States Bankruptcy Court, E.D. Pennsylvania.","November 24, 2015","541 B.R. 259","Under Delaware law, a contract term or provision is ambiguous only when the provisions in controversy are fairly susceptible of different interpretations or may have two or more different meanings.","BANKRUPTCY  Avoidance. Bank was not liable as subsequent transferee for transfers made by related entity to Chapter 7 debtor company.",
"Custom Digest","95 CONTRACTS > 95II Construction and Operation > 95II(A) General Rules of Construction > 95k143 Application to Contracts in General > 95k143(2) Existence of ambiguity >","In re Universal Marketing, Inc.","","","https://www.westlaw.com/Document/I8fb3621093c011e595f799cc3c3ba45b/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=16&sessionScopeId=0d46b021f05b5ce226eef749594b8c280a40aeebcdf61c6d9f5c3d90860aa42b&ppcid=5d8262dbeebd43ada63e3491f47b429a&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F232037678477","United States Bankruptcy Court, E.D. Pennsylvania.","November 24, 2015","541 B.R. 259","Under Delaware law, a contract is not ambiguous simply because the parties do not agree on its proper meaning.","BANKRUPTCY  Avoidance. Bank was not liable as subsequent transferee for transfers made by related entity to Chapter 7 debtor company.",
"Custom Digest","95 CONTRACTS > 95II Construction and Operation > 95II(A) General Rules of Construction > 95k143 Application to Contracts in General > 95k143(2) Existence of ambiguity >","Lesaint Logistics, LLC v. Electra Bicycle Company, LLC","","","https://www.westlaw.com/Document/Ia2c937508f3611e5b08589a37876010a/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=17&sessionScopeId=0d46b021f05b5ce226eef749594b8c280a40aeebcdf61c6d9f5c3d90860aa42b&ppcid=5d8262dbeebd43ada63e3491f47b429a&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F52037629488","United States District Court, N.D. Illinois, Eastern Division.","November 19, 2015","146 F.Supp.3d 972","Contract language is not ambiguous simply because the parties disagree as to its meaning, but only if it is reasonably susceptible to different constructions.","TORTS  Tortious Interference. Provider of warehouse and logistics services stated claim against buyer of bicycle manufacturer for intentional interference with contractual relations.",
"Custom Digest","95 CONTRACTS > 95II Construction and Operation > 95II(A) General Rules of Construction > 95k143 Application to Contracts in General > 95k143(2) Existence of ambiguity >","Canon Inc. v. Tesseron Ltd.","","","https://www.westlaw.com/Document/I023ec710902011e595f799cc3c3ba45b/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=18&sessionScopeId=0d46b021f05b5ce226eef749594b8c280a40aeebcdf61c6d9f5c3d90860aa42b&ppcid=5d8262dbeebd43ada63e3491f47b429a&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F182037637431","United States District Court, S.D. New York.","November 19, 2015","146 F.Supp.3d 568","When construing an agreement under New York law, a court at the outset must determine whether the language the parties have chosen is ambiguous.","PATENTS  Industrial Equipment. Federal patent law did not bar retroactive licenses.",
"Custom Digest","95 CONTRACTS > 95II Construction and Operation > 95II(A) General Rules of Construction > 95k143 Application to Contracts in General > 95k143(2) Existence of ambiguity >","Canon Inc. v. Tesseron Ltd.","","","https://www.westlaw.com/Document/I023ec710902011e595f799cc3c3ba45b/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=19&sessionScopeId=0d46b021f05b5ce226eef749594b8c280a40aeebcdf61c6d9f5c3d90860aa42b&ppcid=5d8262dbeebd43ada63e3491f47b429a&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F192037637431","United States District Court, S.D. New York.","November 19, 2015","146 F.Supp.3d 568","Under New York law, an omission in a contract does not constitute an ambiguity.","PATENTS  Industrial Equipment. Federal patent law did not bar retroactive licenses.",
"Custom Digest","95 CONTRACTS > 95II Construction and Operation > 95II(A) General Rules of Construction > 95k143 Application to Contracts in General > 95k143(2) Existence of ambiguity >","In re Mortgage Fund '08 LLC","","","https://www.westlaw.com/Document/I770eb7108faf11e5b08589a37876010a/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=20&sessionScopeId=0d46b021f05b5ce226eef749594b8c280a40aeebcdf61c6d9f5c3d90860aa42b&ppcid=5d8262dbeebd43ada63e3491f47b429a&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F12037636647","United States Bankruptcy Court, N.D. California, Oakland Division.","November 19, 2015","541 B.R. 467","Under California law, if a contract is reasonably susceptible to more than one interpretation, it is ambiguous.","BANKRUPTCY  Settlements. Release in settlement between debtor and affiliate included constructive fraudulent transfer claim brought by trustee against noteholder.",
"Copyright 2024 Thomson Reuters/West. No Claim to Orig. US Gov. Works","","","","","","","","","","",
